HS Code,Commodity,Value,Date,Growth
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",1.28,2014-01-01,70.59
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.37,2014-01-01,-66.98
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",7.46,2014-01-01,72.50
65,HEADGEAR AND PARTS THEREOF.,0.07,2014-01-01,56.64
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.00,2014-01-01,-88.00
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.06,2014-01-01,606.10
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",3.44,2014-01-01,-6.44
69,CERAMIC PRODUCTS.,0.77,2014-01-01,-56.23
70,GLASS AND GLASSWARE.,5.12,2014-01-01,-21.19
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",44.42,2014-01-01,-12.32
72,IRON AND STEEL,37.36,2014-01-01,-32.47
73,ARTICLES OF IRON OR STEEL,24.26,2014-01-01,19.64
74,COPPER AND ARTICLES THEREOF.,31.20,2014-01-01,18.19
75,NICKEL AND ARTICLES THEREOF.,0.88,2014-01-01,"2,206.30"
76,ALUMINIUM AND ARTICLES THEREOF.,19.45,2014-01-01,21.78
78,LEAD AND ARTICLES THEREOF.,0.41,2014-01-01,-34.31
79,ZINC AND ARTICLES THEREOF.,1.92,2014-01-01,30.56
80,TIN AND ARTICLES THEREOF.,12.91,2014-01-01,14.63
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.28,2014-01-01,93.42
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.65,2014-01-01,24.16
83,MISCELLANEOUS ARTICLES OF BASE METAL.,3.17,2014-01-01,-3.12
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",269.29,2014-01-01,-3.51
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",276.44,2014-01-01,-25.32
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.34,2014-01-01,576.39
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",38.88,2014-01-01,6.82
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",6.75,2014-01-01,264.98
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",75.84,2014-01-01,-68.04
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",37.13,2014-01-01,6.30
91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.17,2014-01-01,-1.13
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.13,2014-01-01,-15.47
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,,2014-01-01,
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",9.51,2014-01-01,-22.62
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.77,2014-01-01,-8.55
96,MISCELLANEOUS MANUFACTURED ARTICLES.,2.29,2014-01-01,-3.64
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.17,2014-01-01,"4,805.71"
98,PROJECT GOODS; SOME SPECIAL USES.,0.38,2014-01-01,-91.96
99,MISCELLANEOUS GOODS.,0.33,2014-01-01,-97.22
01,LIVE ANIMALS.,,2014-02-01,
02,MEAT AND EDIBLE MEAT OFFAL.,,2014-02-01,
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.71,2014-02-01,26.79
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.00,2014-02-01,100.00
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.24,2014-02-01,-35.21
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.84,2014-02-01,6.87
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,52.59,2014-02-01,24.98
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,7.72,2014-02-01,18.95
09,"COFFEE, TEA, MATE AND SPICES.",17.68,2014-02-01,-12.34
10,CEREALS.,0.01,2014-02-01,37.76
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.06,2014-02-01,220.80
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.34,2014-02-01,33.39
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.14,2014-02-01,-66.41
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.89,2014-02-01,33.23
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,383.22,2014-02-01,-32.69
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.02,2014-02-01,-28.44
17,SUGARS AND SUGAR CONFECTIONERY.,0.40,2014-02-01,-47.65
18,COCOA AND COCOA PREPARATIONS.,8.79,2014-02-01,154.29
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.96,2014-02-01,0.31
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.04,2014-02-01,28.40
21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.29,2014-02-01,9.09
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.43,2014-02-01,96.18
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,4.65,2014-02-01,-32.79
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.53,2014-02-01,51.55
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",9.77,2014-02-01,-22.26
26,"ORES, SLAG AND ASH.",31.89,2014-02-01,-66.21
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",706.41,2014-02-01,1.88
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",16.36,2014-02-01,11.17
29,ORGANIC CHEMICALS,205.17,2014-02-01,-1.14
30,PHARMACEUTICAL PRODUCTS,6.15,2014-02-01,7.04
31,FERTILISERS.,0.22,2014-02-01,117.79
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",14.49,2014-02-01,-7.18
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",7.77,2014-02-01,-14.53
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",8.49,2014-02-01,25.45
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2.47,2014-02-01,10.72
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.00,2014-02-01,-94.36
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.69,2014-02-01,9.65
38,MISCELLANEOUS CHEMICAL PRODUCTS.,47.05,2014-02-01,20.21
39,PLASTIC AND ARTICLES THEREOF.,129.12,2014-02-01,9.55
40,RUBBER AND ARTICLES THEREOF.,64.42,2014-02-01,19.09
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,4.74,2014-02-01,26.54
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.47,2014-02-01,61.87
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",,2014-02-01,
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,106.59,2014-02-01,-11.35
45,CORK AND ARTICLES OF CORK.,0.01,2014-02-01,-80.51
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.03,2014-02-01,60.37
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,16.11,2014-02-01,-51.25
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",12.78,2014-02-01,41.98
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",2.09,2014-02-01,-89.92
50,SILK,0.54,2014-02-01,402.62
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.01,2014-02-01,-42.64
52,COTTON.,0.92,2014-02-01,729.80
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.01,2014-02-01,-24.32
54,MAN-MADE FILAMENTS.,9.38,2014-02-01,-34.99
55,MAN-MADE STAPLE FIBRES.,6.47,2014-02-01,-4.00
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",1.95,2014-02-01,-11.49
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,1.16,2014-02-01,-16.59
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1.40,2014-02-01,3.83
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2.89,2014-02-01,-25.79
60,KNITTED OR CROCHETED FABRICS.,0.40,2014-02-01,-29.82
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.92,2014-02-01,77.08
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",1.28,2014-02-01,70.59
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.37,2014-02-01,-66.98
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",7.46,2014-02-01,72.50
65,HEADGEAR AND PARTS THEREOF.,0.07,2014-02-01,56.64
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.00,2014-02-01,-88.00
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.06,2014-02-01,606.10
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",3.44,2014-02-01,-6.44
69,CERAMIC PRODUCTS.,0.77,2014-02-01,-56.23
70,GLASS AND GLASSWARE.,5.12,2014-02-01,-21.19
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",44.42,2014-02-01,-12.32
72,IRON AND STEEL,37.36,2014-02-01,-32.47
73,ARTICLES OF IRON OR STEEL,24.26,2014-02-01,19.64
74,COPPER AND ARTICLES THEREOF.,31.20,2014-02-01,18.19
75,NICKEL AND ARTICLES THEREOF.,0.88,2014-02-01,"2,206.30"
76,ALUMINIUM AND ARTICLES THEREOF.,19.45,2014-02-01,21.78
78,LEAD AND ARTICLES THEREOF.,0.41,2014-02-01,-34.31
79,ZINC AND ARTICLES THEREOF.,1.92,2014-02-01,30.56
80,TIN AND ARTICLES THEREOF.,12.91,2014-02-01,14.63
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.28,2014-02-01,93.42
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.65,2014-02-01,24.16
83,MISCELLANEOUS ARTICLES OF BASE METAL.,3.17,2014-02-01,-3.12
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",269.29,2014-02-01,-3.51
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",276.44,2014-02-01,-25.32
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.34,2014-02-01,576.39
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",38.88,2014-02-01,6.82
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",6.75,2014-02-01,264.98
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",75.84,2014-02-01,-68.04
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",37.13,2014-02-01,6.30
91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.17,2014-02-01,-1.13
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.13,2014-02-01,-15.47
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,,2014-02-01,
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",9.51,2014-02-01,-22.62
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.77,2014-02-01,-8.55
96,MISCELLANEOUS MANUFACTURED ARTICLES.,2.29,2014-02-01,-3.64
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.17,2014-02-01,"4,805.71"
98,PROJECT GOODS; SOME SPECIAL USES.,0.38,2014-02-01,-91.96
99,MISCELLANEOUS GOODS.,0.33,2014-02-01,-97.22
01,LIVE ANIMALS.,,2014-03-01,
02,MEAT AND EDIBLE MEAT OFFAL.,,2014-03-01,
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.71,2014-03-01,26.79
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.00,2014-03-01,100.00
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.24,2014-03-01,-35.21
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.84,2014-03-01,6.87
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,52.59,2014-03-01,24.98
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,7.72,2014-03-01,18.95
09,"COFFEE, TEA, MATE AND SPICES.",17.68,2014-03-01,-12.34
10,CEREALS.,0.01,2014-03-01,37.76
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.06,2014-03-01,220.80
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.34,2014-03-01,33.39
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.14,2014-03-01,-66.41
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.89,2014-03-01,33.23
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,383.22,2014-03-01,-32.69
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.02,2014-03-01,-28.44
17,SUGARS AND SUGAR CONFECTIONERY.,0.40,2014-03-01,-47.65
18,COCOA AND COCOA PREPARATIONS.,8.79,2014-03-01,154.29
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.96,2014-03-01,0.31
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.04,2014-03-01,28.40
21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.29,2014-03-01,9.09
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.43,2014-03-01,96.18
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,4.65,2014-03-01,-32.79
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.53,2014-03-01,51.55
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",9.77,2014-03-01,-22.26
26,"ORES, SLAG AND ASH.",31.89,2014-03-01,-66.21
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",706.41,2014-03-01,1.88
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",16.36,2014-03-01,11.17
29,ORGANIC CHEMICALS,205.17,2014-03-01,-1.14
30,PHARMACEUTICAL PRODUCTS,6.15,2014-03-01,7.04
31,FERTILISERS.,0.22,2014-03-01,117.79
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",14.49,2014-03-01,-7.18
